t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VE/VO2,VE/VCO2,VO2/Kg,METS,HR,VO2/HR,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Phase,Marker,Amb. Temp.,RH Amb,Device Temp.,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,FAT,CHO,PRO%,FAT%,CHO%,npRQ,Long,Lat,GPS Altitude,Barom_Altitude,GPS Speed,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Dist.,Step Length,Battery,Phase time,BR,O2 Cost,O2 Delay,CO2 Delay,GPS Heading,RH Sample,Cadence,Satellites,Fixing,Satellites SNR,VT/Ti,PaCO2_e
s,1/min,L(btps),L/min,mL,mL/min,mL/min,---,mL,mL,---,---,mL/min/Kg,---,bpm,mL/beat,%,%,%,%,%,%,mmHg,mmHg,mmHg,mmHg,---,---,°C,%,°C,mmHg,mmHg,kcal/day,kcal/h,kcal/min,kcal,kcal/Kg/day,kcal/day,kcal/day,kcal/day,%,%,%,---,"° ' ""","° ' """,m,m,km/h,m,s,s,s,---,---,L/min,s,m/s,m,m,%,hh:mm:ss,%,mL/Kg/m,ms,ms,DEG,%,1/min,---,---,dB,---,mmHg
0.0,30.46,0.533,16.234,533,414.303569,368.2825349,0.89,95.2,15.1,34.0,38.3,8.29,2.4,78,5.3,17.86,2.83,16.52,4.16,20.93,0.04,125,20,116,29,NONE,,17.0,42,34.7,724,748,2910,121.3,2.02,0,58.2,0,1103,1807,0,37.9,62.1,0.89,"W001° 15' 5.9262""","N51° 45' 55.776""",54,60,0.1,0,0.94,1.03,1.97,0.48,0.24,1.21,0,0,0,,53,00:00:00,87.3,4.97,1279,989,0,69,0,8,False,32,0.57,32
2.0,38.96,0.263,10.247,622,138.15538,120.0908017,0.87,50.8,3.9,54.4,62.6,2.76,0.8,78,1.8,19.32,1.48,18.6,2.24,20.93,0.04,135,10,130,16,NONE,,17.0,42,34.7,724,748,966,40.3,0.67,0,19.3,0,431,535,0,44.6,55.4,0.87,"W001° 15' 5.9274""","N51° 45' 55.776""",54,61,0.1,0,0.91,0.63,1.54,0.59,0.2,1.011,2,0,0,,53,00:00:02,92.0,1.66,1279,989,0,69,0,8,False,31,0.29,20
4.0,30.0,0.441,13.23,145,340.8422312,307.611216,0.9,78.6,12.8,32.7,36.2,6.82,1.9,78,4.4,17.82,2.9,16.63,4.33,20.93,0.04,125,20,117,30,NONE,,17.0,42,34.7,724,748,2401,100.1,1.67,0,48.0,0,799,1602,0,33.3,66.7,0.9,"W001° 15' 5.9292""","N51° 45' 55.776""",54,60,0.2,0,0.5,1.5,2.0,0.25,0.22,1.122,2,0,0,,53,00:00:04,89.6,2.05,1305,989,0,68,0,8,False,31,0.88,33
5.0,30.77,0.283,8.708,549,161.2047732,147.1281429,0.91,52.9,6.0,40.7,44.5,3.22,0.9,78,2.1,18.69,2.12,17.3,3.45,20.93,0.04,131,15,121,24,NONE,,17.0,42,34.7,724,748,1138,47.4,0.79,0,22.8,0,339,799,0,29.8,70.2,0.91,"W001° 15' 5.9316""","N51° 45' 55.776""",54,60,0.1,0,0.95,1.0,1.95,0.49,0.21,0.94,1,0,0,,53,00:00:05,93.2,1.93,1305,989,0,68,0,9,False,32,0.3,27
7.0,41.67,0.389,16.208,308,445.2390895,390.7080259,0.88,68.6,11.7,29.9,34.0,8.9,2.5,78,5.7,17.63,3.01,16.44,4.16,20.93,0.04,124,21,115,29,NONE,,17.0,42,34.7,724,748,3119,130.0,2.17,0,62.4,0,1304,1815,0,41.8,58.2,0.88,"W001° 15' 5.934""","N51° 45' 55.7784""",55,61,0.1,0,0.78,0.66,1.44,0.54,0.16,1.21,2,0,0,,53,00:00:07,87.3,5.34,1294,989,0,69,0,9,False,32,0.5,32
9.0,27.91,0.819,22.856,402,749.1920186,659.0014266,0.88,139.2,29.4,27.9,31.7,14.98,4.3,78,9.6,17.0,3.59,15.51,5.25,20.93,0.04,119,25,109,37,NONE,,16.9,41,34.7,724,748,5251,218.8,3.65,0,105.0,0,2158,3094,0,41.1,58.9,0.88,"W001° 15' 5.9346""","N51° 45' 55.7832""",55,61,0.1,0,0.33,1.82,2.15,0.15,0.26,1.359,2,0,0,,53,00:00:09,82.1,8.99,1296,989,0,69,0,9,False,31,2.48,39
11.0,30.0,0.401,12.03,715,306.3392671,266.5712052,0.87,71.7,11.1,32.4,37.3,6.13,1.8,78,3.9,17.88,2.77,16.32,4.16,20.93,0.04,125,19,114,29,NONE,,16.9,41,34.7,724,748,2143,89.3,1.49,0,42.9,0,949,1193,0,44.3,55.7,0.87,"W001° 15' 5.9316""","N51° 45' 55.7856""",55,61,0.1,0,1.03,0.97,2.0,0.52,0.21,1.08,2,0,0,,53,00:00:11,90.6,3.68,1296,989,0,69,0,10,False,32,0.39,32
13.0,26.91,0.638,17.166,474,539.5392056,481.7793456,0.89,109.4,22.3,28.3,31.7,10.79,3.1,78,6.9,17.15,3.5,15.51,5.13,20.93,0.04,120,25,109,36,NONE,,16.9,41,34.7,724,748,3793,158.0,2.63,0,75.9,0,1386,2407,0,36.5,63.5,0.89,"W001° 15' 5.9256""","N51° 45' 55.788""",55,60,0.1,0,0.57,1.66,2.23,0.26,0.24,1.235,2,0,0,,53,00:00:13,86.5,6.47,1305,989,0,69,0,10,False,32,1.12,38
16.0,21.05,0.836,17.6,739,572.854969,505.5759701,0.88,142.3,29.9,28.2,31.9,11.46,3.3,78,7.3,17.02,3.58,15.39,5.18,20.93,0.04,119,25,108,36,NONE,,16.8,41,34.7,724,748,4018,167.4,2.79,1,80.4,0,1611,2407,0,40.1,59.9,0.88,"W001° 15' 5.919""","N51° 45' 55.7874""",55,60,0.2,0,1.17,1.68,2.85,0.41,0.26,1.246,3,0,0,,53,00:00:16,86.2,3.44,1305,989,0,69,0,10,False,30,0.71,38
