t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VE/VO2,VE/VCO2,VO2/Kg,METS,HR,VO2/HR,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Phase,Marker,Amb. Temp.,RH Amb,Device Temp.,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,FAT,CHO,PRO%,FAT%,CHO%,npRQ,Long,Lat,GPS Altitude,Barom_Altitude,GPS Speed,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Dist.,Step Length,Battery,Phase time,BR,O2 Cost,O2 Delay,CO2 Delay,GPS Heading,RH Sample,Cadence,Satellites,Fixing,Satellites SNR,VT/Ti,PaCO2_e
s,1/min,L(btps),L/min,mL,mL/min,mL/min,---,mL,mL,---,---,mL/min/Kg,---,bpm,mL/beat,%,%,%,%,%,%,mmHg,mmHg,mmHg,mmHg,---,---,°C,%,°C,mmHg,mmHg,kcal/day,kcal/h,kcal/min,kcal,kcal/Kg/day,kcal/day,kcal/day,kcal/day,%,%,%,---,"° ' ""","° ' """,m,m,km/h,m,s,s,s,---,---,L/min,s,m/s,m,m,%,hh:mm:ss,%,mL/Kg/m,ms,ms,DEG,%,1/min,---,---,dB,---,mmHg
0.0,5.86,0,0.0,0,0.0,11.7161845,0,1626.8,2.4,0.1,0,0.0,0.0,84,0,0.0,0.0,20.93,0.04,20.93,0.04,0,0,150,0,NONE,,17.6,54,36.1,742,766,0,0.0,0.0,0,0.0,0,0,0,0,100.0,0.0,0,"W001° 15' 7.5906""","N51° 45' 55.3842""",66,70,0.2,0,3.44,6.79,10.23,0.34,0.0,0.0,0,0,0,,82,00:00:00,100.0,0,1200,993,0,73,0,11,False,26,0.0,6
9.0,6.85,0.147,1.007,164,0.0,0.0,2.26,30.8,0.0,0.0,0,0.0,0.0,82,0,20.95,0.0,20.96,0.04,20.93,0.04,151,0,151,0,NONE,,17.6,55,36.1,742,766,0,0.0,0.0,0,0.0,0,0,0,0,0.0,100.0,2.26,"W001° 15' 7.605""","N51° 45' 55.356""",67,69,0.4,0,2.98,5.78,8.76,0.34,0.52,0.003,9,0,0,,82,00:00:09,99.3,0,1200,993,0,73,0,11,False,25,0.05,6
35.0,5.85,0.111,0.649,2213,0.0,0.0,0.22,23.4,0.0,0.0,0,0.0,0.0,85,0,21.08,0.0,20.95,0.04,20.93,0.04,152,0,151,0,NONE,,17.5,55,36.0,742,766,0,0.0,0.0,0,0.0,0,0,0,0,100.0,0.0,0.22,"W001° 15' 7.665""","N51° 45' 55.377""",72,69,0.2,0,8.94,1.32,10.26,0.87,0.37,0.0,26,0,0,,82,00:00:35,99.6,0,1200,993,0,73,0,9,False,28,0.01,6
70.0,3.6,0.696,2.504,820,0.0,0.0,0,167.9,0.2,0.0,0,0.0,0.0,97,0,24.12,0.03,20.94,0.04,20.93,0.04,173,0,151,0,NONE,,17.4,56,35.8,742,766,0,0.0,0.0,0,0.0,0,0,0,0,100.0,0.0,0,"W001° 15' 7.65""","N51° 45' 55.3314""",75,69,0.6,0,9.59,7.09,16.68,0.58,0.86,0.399,35,0,0,,81,00:01:10,98.3,0,1200,993,0,73,0,10,False,28,0.07,6
80.0,4.98,0.054,0.269,77,0.0352473,0.0,0,11.3,0.0,0.0,889.3,0.0,0.0,86,0,20.93,0.0,20.95,0.03,20.93,0.04,150,0,151,0,NONE,,17.5,57,35.8,742,766,0,0.0,0.0,0,0.0,0,0,0,0,100.0,0.0,0,"W001° 15' 7.6326""","N51° 45' 55.3122""",72,69,0.2,0,2.35,9.7,12.05,0.2,0.0,0.0,10,0,0,,81,00:01:20,99.8,0,1200,993,0,73,0,11,False,26,0.02,6
89.0,7.84,0.113,0.886,56,0.0,0.0,0.26,23.8,0.0,0.0,0,0.0,0.0,100,0,21.06,0.0,20.94,0.04,20.93,0.04,151,0,150,0,NONE,,17.5,57,35.8,742,765,0,0.0,0.0,0,0.0,0,0,0,0,100.0,0.0,0.26,"W001° 15' 7.6284""","N51° 45' 55.32""",70,69,0.4,0,1.26,6.39,7.65,0.16,0.38,0.0,9,0,0,,81,00:01:29,99.4,0,1200,993,0,72,0,10,False,28,0.09,6
102.0,4.23,0.185,0.783,114,0.0,0.0994413,0,43.1,0.1,0.0,4893.3,0.0,0.0,110,0,23.3,0.05,20.95,0.04,20.93,0.04,168,0,151,0,NONE,,17.5,57,35.7,742,766,0,0.0,0.0,0,0.0,0,0,0,0,100.0,0.0,0,"W001° 15' 7.6206""","N51° 45' 55.3314""",69,69,0.6,0,7.86,6.32,14.18,0.55,0.55,0.0,13,0,0,,81,00:01:42,99.5,0,1200,993,0,72,0,10,False,32,0.02,6
277.0,6.16,0.857,5.279,208,0.0,26.6927235,0,663.9,5.3,0.0,181.6,0.0,0.0,99,0,77.47,0.62,20.83,0.04,20.93,0.04,556,4,150,0,NONE,,18.3,52,35.1,742,765,0,0.0,0.0,0,0.0,0,0,0,0,100.0,0.0,0,"W001° 15' 7.5732""","N51° 45' 55.2708""",68,71,1.1,0,5.78,3.96,9.74,0.59,0.15,0.723,175,0,0,,80,00:04:37,96.3,0,1200,991,230,69,0,10,False,26,0.15,6
283.0,8.7,0.179,1.557,201,0.0,0.2091223,0,38.4,0.1,0.0,4532.4,0.0,0.0,94,0,21.45,0.06,20.93,0.03,20.93,0.04,154,0,150,0,NONE,,18.1,53,35.0,742,765,0,0.0,0.0,0,0.0,0,0,0,0,100.0,0.0,0,"W001° 15' 7.5816""","N51° 45' 55.2228""",71,71,0.7,0,3.86,3.04,6.9,0.56,0.54,0.192,6,0,0,,80,00:04:43,98.9,0,1200,991,0,70,0,10,False,26,0.05,6
305.0,12.16,1.146,13.93,41,0.0,0.0,0.01,246.6,0.4,0.0,0,0.0,0.0,81,0,21.52,0.03,20.93,0.04,20.93,0.04,155,0,150,0,NONE,,18.0,54,35.0,742,765,0,0.0,0.0,0,0.0,0,0,0,0,100.0,0.0,0.01,"W001° 15' 7.596""","N51° 45' 55.107""",76,71,0.1,0,1.17,3.77,4.94,0.24,0.9,1.144,22,0,0,,80,00:05:05,90.4,0,1338,991,0,70,0,10,False,25,0.98,6
333.0,4.68,0.185,0.865,1829,0.0,0.106391,0,41.3,0.1,0.0,5056.5,0.0,0.0,94,0,22.32,0.05,20.93,0.04,20.93,0.04,160,0,150,0,NONE,,18.2,54,34.9,742,765,0,0.0,0.0,0,0.0,0,0,0,0,100.0,0.0,0,"W001° 15' 7.6092""","N51° 45' 55.167""",71,71,0.2,0,4.8,8.03,12.83,0.37,0.55,0.0,28,0,0,,80,00:05:33,99.4,0,1338,991,0,69,0,10,False,26,0.04,6
336.0,19.61,0.037,0.725,125,0.0,0.0,0.22,7.8,0.0,593.5,2682.1,0.0,0.0,94,0,21.08,0.0,20.93,0.04,20.93,0.04,151,0,150,0,NONE,,18.2,54,34.9,742,765,0,0.0,0.0,0,0.0,0,0,0,0,100.0,0.0,0.22,"W001° 15' 7.6044""","N51° 45' 55.1718""",70,71,0.2,0,1.87,1.19,3.06,0.61,0.0,0.0,3,0,0,,80,00:05:36,99.5,0,1338,991,0,69,0,10,False,26,0.02,6
349.0,4.78,0.567,2.711,1083,0.0,0.0,0,123.1,0.2,0.0,0,0.0,0.0,83,0,21.71,0.04,20.92,0.04,20.93,0.04,156,0,150,0,NONE,,18.2,53,34.8,742,765,0,0.0,0.0,0,0.0,0,0,0,0,100.0,0.0,0,"W001° 15' 7.5966""","N51° 45' 55.191""",71,71,0.2,0,6.95,5.6,12.55,0.55,0.83,0.433,13,0,0,,80,00:05:49,98.1,0,1338,991,0,69,0,10,False,25,0.08,6
351.0,23.35,0.536,12.514,35,0.0,0.0,0.93,112.2,0.2,0.0,0,0.0,0.0,80,0,20.93,0.04,20.93,0.04,20.93,0.04,150,0,150,0,NONE,,18.2,53,34.8,742,765,0,0.0,0.0,0,0.0,0,0,0,0,22.4,77.6,0.93,"W001° 15' 7.5984""","N51° 45' 55.1934""",71,71,0.1,0,1.34,1.23,2.57,0.52,0.82,1.097,2,0,0,,80,00:05:51,91.3,0,1338,991,0,69,0,10,False,25,0.4,6
373.0,15.24,5.164,78.72,144,0.0,0.0,1.33,1081.2,1.6,0.0,0,0.0,0.0,94,0,20.94,0.03,20.92,0.04,20.93,0.04,150,0,150,0,NONE,,18.1,53,34.7,742,765,0,0.0,0.0,0,0.0,0,0,0,0,0.0,100.0,1.33,"W001° 15' 7.587""","N51° 45' 55.2732""",69,71,0.3,0,2.57,1.37,3.94,0.65,0.95,1.896,22,0,0,,80,00:06:13,45.5,0,1338,991,0,69,0,10,False,25,2.01,6
401.0,4.63,2.625,12.166,150,0.0,0.0,0.04,554.1,0.8,0.0,0,0.0,0.0,91,0,21.11,0.03,20.92,0.04,20.93,0.04,152,0,150,0,NONE,,18.0,55,34.6,742,765,0,0.0,0.0,0,0.0,0,0,0,0,100.0,0.0,0.04,"W001° 15' 7.5456""","N51° 45' 55.4118""",61,70,0.8,0,3.67,9.28,12.95,0.28,0.94,1.085,28,0,0,,80,00:06:41,91.6,0,1338,991,0,69,0,10,False,25,0.72,6
443.0,6.26,>.494,78.234,73,17000.222791,0.0,0,36.9,3.8,4.6,0,232.88,66.5,81,>9.9,0.3,0.03,20.91,0.04,20.93,0.04,2,0,150,0,NONE,,17.8,54,34.5,742,765,95453,3977.2,66.29,23,1307.6,0,95453,0,0,100.0,0.0,0,"W001° 15' 7.5456""","N51° 45' 55.3878""",60,70,0.5,0,1.59,7.99,9.58,0.17,0.96,1.893,42,0,0,,79,00:07:23,45.8,>.95,1338,991,0,70,0,9,False,28,7.86,6
445.0,40.54,0.095,3.851,230,0.0,0.0,3.52,19.9,0.0,0.0,0,0.0,0.0,83,0,20.95,0.0,20.94,0.03,20.93,0.04,150,0,150,0,NONE,,17.8,54,34.5,742,765,0,0.0,0.0,24,0.0,0,0,0,0,0.0,100.0,3.52,"W001° 15' 7.554""","N51° 45' 55.3776""",61,70,0.6,0,0.93,0.55,1.48,0.63,0.26,0.586,2,0,0,,79,00:07:25,97.3,0,1338,991,0,70,0,10,False,26,0.1,6
449.0,15.75,0.736,11.591,39,0.0,0.0,2.11,154.1,0.2,0.0,0,0.0,0.0,81,0,20.94,0.03,20.92,0.04,20.93,0.04,150,0,150,0,NONE,,17.7,54,34.5,742,765,0,0.0,0.0,24,0.0,0,0,0,0,0.0,100.0,2.11,"W001° 15' 7.5618""","N51° 45' 55.371""",62,69,0.3,0,0.85,2.96,3.81,0.22,0.87,1.064,4,0,0,,79,00:07:29,92.0,0,1338,991,0,70,0,9,False,27,0.87,6
480.0,3.87,9.353,36.168,150,6669.1741711,0.0,0,319.9,2.8,5.4,0,91.36,26.1,86,77.5,3.42,0.03,20.92,0.04,20.93,0.04,25,0,150,0,NONE,,17.5,54,34.3,742,765,37445,1560.2,26.0,31,512.9,0,37445,0,0,100.0,0.0,0,"W001° 15' 7.6308""","N51° 45' 55.4334""",67,70,0.3,0,2.43,13.09,15.52,0.16,0.96,1.558,31,0,0,,79,00:08:00,75.0,>.27,1338,991,0,70,0,9,False,26,3.85,6
498.0,3.53,6.154,21.707,1554,0.0,0.0,0.1,1292.4,1.9,0.0,0,0.0,0.0,90,0,21.0,0.03,20.93,0.04,20.93,0.04,151,0,150,0,NONE,,17.2,54,34.3,742,765,0,0.0,0.0,35,0.0,0,0,0,0,100.0,0.0,0.1,"W001° 15' 7.6422""","N51° 45' 55.4364""",66,70,0.3,0,5.38,11.63,17.01,0.32,0.95,1.337,18,0,0,,79,00:08:18,85.0,0,1338,991,0,71,0,10,False,25,1.14,6
500.0,18.52,0.218,4.037,92,0.0,0.1979997,0,45.7,0.1,0.0,13842.1,0.0,0.0,93,0,20.96,0.05,20.94,0.03,20.93,0.04,151,0,150,0,NONE,,17.2,54,34.3,742,765,0,0.0,0.0,35,0.0,0,0,0,0,100.0,0.0,0,"W001° 15' 7.6488""","N51° 45' 55.4358""",65,70,0.1,0,1.19,2.05,3.24,0.37,0.62,0.606,2,0,0,,79,00:08:20,97.2,0,1338,991,0,71,0,10,False,26,0.18,6
509.0,6.85,0.826,5.658,190,0.0,0.0,0,177.4,0.3,0.0,0,0.0,0.0,92,0,21.48,0.04,20.94,0.04,20.93,0.04,154,0,150,0,NONE,,17.1,54,34.3,742,765,0,0.0,0.0,35,0.0,0,0,0,0,100.0,0.0,0,"W001° 15' 7.6578""","N51° 45' 55.4268""",65,70,0.2,0,2.72,6.04,8.76,0.31,0.87,0.753,9,0,0,,79,00:08:29,96.1,0,1338,991,0,71,0,10,False,26,0.3,6
546.0,16.7,>.703,212.188,149,18007.4065387,0.0,0,1635.2,3.8,11.7,0,246.68,70.5,92,>5.7,12.87,0.03,20.92,0.04,20.93,0.04,92,0,150,0,NONE,,17.0,55,34.1,742,765,>1090,4212.1,70.2,57,1384.8,0,>1090,0,0,100.0,0.0,0,"W001° 15' 7.5858""","N51° 45' 55.428""",66,70,0.2,0,1.98,1.61,3.59,0.55,0.96,2.327,37,0,0,,79,00:09:06,-46.9,>.00,1338,991,0,71,0,10,False,25,6.42,6
560.0,19.87,0.134,2.662,290,16.5250852,12.3435857,0.75,27.1,0.8,76.9,103,0.23,0.1,89,0.2,20.22,0.6,19.23,1.35,20.93,0.04,145,4,138,10,NONE,,16.8,54,34.1,742,765,112,4.7,0.08,65,1.5,0,97,15,0,86.4,13.6,0.75,"W001° 15' 7.6224""","N51° 45' 55.3542""",67,69,0.2,0,0.95,2.07,3.02,0.31,0.18,0.425,14,0,0,,79,00:09:20,98.2,0.07,1338,990,0,72,0,9,False,25,0.14,14
565.0,15.54,0.677,10.523,808,332.5285364,239.7384124,0.72,117.5,18.8,28.4,39.4,4.56,1.3,90,3.7,17.36,2.78,16.36,3.63,20.93,0.04,125,20,117,26,NONE,,16.8,56,34.1,742,765,2247,93.6,1.56,65,30.8,0,2140,107,0,95.2,4.8,0.72,"W001° 15' 7.6368""","N51° 45' 55.3374""",67,70,1.0,0,1.29,2.57,3.86,0.33,0.21,1.022,5,0,0,,79,00:09:25,92.7,0.27,1338,990,0,72,0,10,False,25,0.52,29
569.0,11.39,0.454,5.169,98,185.9704227,127.1584638,0.68,76.7,13.6,23.5,34.4,2.55,0.7,92,2,16.89,3.0,15.57,4.07,20.93,0.04,121,22,112,29,NONE,,16.7,56,34.0,742,765,1246,51.9,0.87,65,17.1,0,1246,0,0,100.0,0.0,0.68,"W001° 15' 7.6524""","N51° 45' 55.3284""",67,70,0.1,0,1.63,3.64,5.27,0.31,0.17,0.713,4,0,0,,79,00:09:29,96.4,1.53,1338,990,0,72,0,9,False,26,0.28,32
572.0,22.99,0.474,10.897,425,431.5527168,281.4665862,0.65,78.3,14.9,21.5,33,5.91,1.7,93,4.6,16.52,3.14,15.4,4.07,20.93,0.04,119,23,111,29,NONE,,16.7,56,34.0,742,765,2869,119.6,1.99,65,39.3,0,2869,0,0,100.0,0.0,0.65,"W001° 15' 7.6584""","N51° 45' 55.2912""",68,70,0.3,0,0.89,1.72,2.61,0.34,0.14,1.037,3,0,0,,79,00:09:32,92.5,1.18,1338,990,0,72,0,9,False,25,0.53,32
575.0,23.35,0.408,9.525,440,360.3352128,226.1168029,0.63,68.3,11.8,21.9,34.9,4.94,1.4,92,3.9,16.74,2.89,15.67,3.77,20.93,0.04,120,21,113,27,NONE,,16.7,56,34.0,742,766,2382,99.2,1.65,65,32.6,0,2382,0,0,100.0,0.0,0.63,"W001° 15' 7.668""","N51° 45' 55.2906""",69,70,0.2,0,1.02,1.55,2.57,0.4,0.13,0.979,3,0,0,,79,00:09:35,93.4,1.48,1338,990,0,71,0,9,False,26,0.4,30
579.0,15.71,0.788,12.377,883,457.2713922,310.9495236,0.68,132.3,24.1,24.7,36.3,6.26,1.8,91,5,16.79,3.06,15.61,3.89,20.93,0.04,121,22,112,28,NONE,,16.7,56,34.0,742,765,3061,127.5,2.13,65,41.9,0,3061,0,0,100.0,0.0,0.68,"W001° 15' 7.6824""","N51° 45' 55.2798""",69,70,0.3,0,0.71,3.11,3.82,0.19,0.19,1.093,4,0,0,,79,00:09:39,91.4,1.25,1338,990,0,72,0,10,False,26,1.11,31
580.0,30.3,0.969,29.364,823,1213.3178597,817.5181347,0.67,158.0,32.8,22.5,33.3,16.62,4.7,91,13.3,16.31,3.38,15.45,4.02,20.93,0.04,117,24,111,29,NONE,,16.7,56,34.0,742,765,8109,337.9,5.63,65,111.1,0,8109,0,0,100.0,0.0,0.67,"W001° 15' 7.6806""","N51° 45' 55.2618""",69,70,0.3,0,1.31,0.67,1.98,0.66,0.16,1.468,1,0,0,,79,00:09:40,79.7,3.32,1338,990,0,71,0,10,False,26,0.74,31
584.0,19.23,1.052,20.231,954,697.6065826,507.0956033,0.73,179.1,32.1,27.1,37.2,9.56,2.7,94,7.4,17.02,3.05,15.78,4.08,20.93,0.04,122,22,113,29,NONE,,16.8,56,34.0,742,766,4721,196.7,3.28,66,64.7,0,4400,321,0,93.2,6.8,0.73,"W001° 15' 7.6746""","N51° 45' 55.2528""",69,70,0.2,0,0.85,2.27,3.12,0.27,0.25,1.306,4,0,0,,78,00:09:44,86.0,2.87,1338,990,0,72,0,10,False,27,1.24,32
587.0,19.29,0.629,12.135,860,378.7231394,268.9537064,0.71,109.5,17.0,28.5,40.1,5.19,1.5,91,4.2,17.41,2.7,16.69,3.36,20.93,0.04,125,19,120,24,NONE,,16.8,56,34.0,742,766,2553,106.4,1.77,66,35.0,0,2525,28,0,98.9,1.1,0.71,"W001° 15' 7.6686""","N51° 45' 55.2618""",69,70,0.2,0,1.96,1.15,3.11,0.63,0.18,1.084,3,0,0,,78,00:09:47,91.6,1.56,1338,990,0,71,0,10,False,27,0.32,27
592.0,12.63,0.851,10.749,553,305.1451112,224.5808311,0.74,150.7,21.7,32.3,43.9,4.18,1.2,93,3.3,17.71,2.55,15.84,4.35,20.93,0.04,127,18,114,31,NONE,,16.8,55,34.0,742,765,2069,86.2,1.44,66,28.3,0,1865,205,0,90.1,9.9,0.74,"W001° 15' 7.6518""","N51° 45' 55.2762""",68,69,0.2,0,0.6,4.15,4.75,0.13,0.37,1.031,5,0,0,,78,00:09:52,92.6,1.25,1338,990,0,71,0,8,False,26,1.42,34
594.0,25.53,0.555,14.17,688,512.1082261,356.5595252,0.7,93.6,17.0,24.2,34.7,7.02,2.0,97,5.3,16.86,3.06,16.04,3.82,20.93,0.04,121,22,115,27,NONE,,16.8,55,34.0,742,765,3441,143.4,2.39,66,47.1,0,3441,0,0,100.0,0.0,0.7,"W001° 15' 7.6434""","N51° 45' 55.2702""",68,69,0.2,0,1.52,0.83,2.35,0.65,0.15,1.151,2,0,0,,78,00:09:54,90.2,2.1,1338,990,0,71,0,9,False,25,0.37,30
594.0,80.0,0.095,7.6,727,45.9003189,44.0884753,0.96,19.2,0.7,43.6,45.4,0.63,0.2,99,0.5,20.21,0.74,20.17,0.64,20.93,0.04,145,5,145,5,NONE,,16.8,55,34.0,742,765,328,13.7,0.23,66,4.5,0,44,283,0,13.5,86.5,0.96,"W001° 15' 7.6362""","N51° 45' 55.2804""",67,69,0.3,0,0.49,0.26,0.75,0.65,0.0,0.881,0,0,0,,78,00:09:54,94.7,0.13,1338,990,0,71,0,9,False,25,0.19,10
599.0,14.81,1.539,22.8,1208,633.906023,499.2537391,0.79,273.0,41.1,34.3,43.6,8.68,2.5,100,6.3,17.74,2.67,17.03,3.37,20.93,0.04,128,19,122,24,NONE,,16.8,56,34.0,742,766,4351,181.3,3.02,66,59.6,0,3154,1197,0,72.5,27.5,0.79,"W001° 15' 7.6302""","N51° 45' 55.3428""",67,69,0.2,0,0.62,3.43,4.05,0.15,0.25,1.358,5,0,0,,78,00:09:59,84.2,2.61,1338,990,0,71,0,10,False,25,2.48,27
